hash,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98,obs99,obs100,obs101,obs102,obs103,obs104,obs105,obs106,obs107,obs108,obs109,obs110,obs111,obs112,obs113,obs114,obs115,obs116,obs117,obs118,obs119,obs120,obs121,obs122,obs123,obs124,obs125,obs126,obs127,obs128,obs129,obs130,obs131,obs132,obs133,obs134,obs135,obs136,obs137,obs138,obs139,obs140,obs141,obs142,obs143,obs144,obs145,obs146,obs147,obs148,obs149,obs150,obs151,obs152,obs153,obs154,obs155,obs156,obs157,obs158,obs159,obs160,obs161,obs162,obs163,obs164,obs165,obs166,obs167,obs168,obs169,obs170,obs171,obs172,obs173,obs174,obs175,obs176,obs177,obs178,obs179,obs180,obs181,obs182,obs183,obs184,obs185,obs186,obs187,obs188,obs189,obs190,obs191,obs192,obs193,obs194,obs195,obs196,obs197,obs198,obs199,obs200
ad933320c06e8f94c457e12750544941,6.720544598,8.41020556,6.947738583,6.388397896,7.548062167,6.732970248,7.546763966,7.403195699,6.383789882,7.193247082,7.182634123,6.48666276,7.367610794,7.206827716,7.475880381,7.402487215,7.704135363,8.347110984,6.562850537,7.605827238,7.603633903,6.581857759,8.36224705,7.787094989,7.572403524,7.049906223,8.851830729,7.848397534,6.777824133,6.570651686,7.153958986,6.313778798,7.427285339,6.86285299,7.477217515,6.600640319,7.666235098,6.507409879,6.408481479,6.353927613,6.568168781,7.452065141,6.248721481,6.422817025,7.898724749,7.692243631,6.365330287,6.304050699,6.591118861,6.368808717,8.712358565,8.315743922,7.99104416,6.704477623,7.014764755,8.172264994,6.580509609,6.756282786,6.259807607,6.914094532,6.70020317,7.990789158,6.330718878,7.86902062,7.567024137,6.497452938,6.249487269,7.269959842,8.214726488,7.843359156,8.702355319,6.907769842,7.76088408,6.822531664,7.15054209,7.863595528,6.852358993,7.206171894,8.732027044,6.314725554,6.882242424,7.216858757,8.638729048,6.814019187,6.468981621,6.543657999,6.87212622,6.627723186,8.483839935,8.84245562,6.805887418,6.61697697,6.420332697,7.394545163,7.074115444,7.257535017,8.151372114,6.893194861,8.02118715,7.529022193,6.405838517,7.362686125,6.336391201,6.895509454,6.932598101,6.279156452,6.63519937,8.457563846,7.944147937,7.007579061,8.498286676,7.606189897,6.793087088,7.261369219,6.850247334,8.938690505,7.438037187,7.926551071,7.165700804,6.982908573,7.172159355,6.320553298,7.200025256,7.437328758,6.796430689,7.64526106,6.673159842,6.685662687,7.650991965,7.037408024,6.49928237,7.42880635,8.260297156,6.625115341,8.276780577,6.283884434,7.901218295,7.827259562,6.458740417,7.082378407,6.262972436,8.07442771,7.341224909,8.060812359,7.226645341,6.888100093,8.698387299,7.268163664,6.588740746,7.747824206,7.070540455,7.095077514,6.357678655,8.783379925,6.613649208,6.399996158,7.443136312,6.494971519,6.332697865,6.451272699,7.29937022,8.275924142,6.619809274,6.266905091,6.386019993,6.676097649,6.416836014,6.658823121,8.350282783,8.11461881,6.672122954,7.878070844,7.693649804,7.255674667,7.500059537,7.814212654,7.842636394,7.275558977,8.776049812,7.241543828,7.872031611,6.91246875,7.595333162,6.271149121,6.724137685,6.864020959,8.042449144,8.70319434,8.657981252,6.856926597,7.364475427,8.947961309,8.407116231,6.645402796,8.935721512,4.283269372,2.872136982,2.232280836,3.456861671,2.704890993
31d28148917738af9cf5d0f09dee0faf,4.283269372,2.872136982,3.417151049,4.680811008,4.573393477,2.453527178,3.93282834,3.631454179,4.59511307,3.601588209,3.1396099,3.5386395,3.864154355,3.851539537,3.258614899,2.750334962,2.874389404,3.904069803,2.715804634,3.35955544,2.836530577,2.286978122,3.040658482,3.386005688,4.112845764,3.377895586,3.636545944,2.212971898,2.586064008,3.867522454,2.453622871,2.600030989,2.386755859,2.270275584,2.386613889,3.617118125,3.696521209,3.64754996,2.648244761,3.310352983,2.993617778,3.560604782,2.521301603,2.486222243,2.291973077,3.102228382,3.385066732,2.278721115,3.325947128,2.47971337,2.387936693,4.397801692,2.358499428,2.294819385,2.330821004,3.524304778,4.297600367,2.42485222,3.558783869,2.705535047,2.553116932,4.760010213,3.576621076,2.401199433,2.224988161,3.354525847,3.614200334,2.207435893,2.549490331,2.597573384,4.301438461,2.55048489,2.908325972,4.307719583,3.941338813,2.869349398,3.767325207,4.480268101,2.65194867,2.410315073,3.893123984,3.516476542,3.295597594,3.596699537,2.543762724,3.296448802,2.949618503,2.220081746,2.986530077,2.330569868,4.721762831,2.323754741,3.293049234,2.418045332,3.367506569,3.93011242,2.337505172,4.359341438,3.616242373,2.811003652,2.442380186,2.280892779,3.054911046,3.603030548,2.988164053,2.355237869,4.488840466,3.181044998,2.930253352,2.402190096,2.311938292,2.81267665,2.42310448,2.205388356,3.717882443,2.967087899,4.095444173,4.501426329,2.210189398,2.907866485,3.316189458,3.544361285,4.56280087,3.581661641,2.76773727,2.419147546,3.430735143,3.346892186,2.384161046,3.995039181,3.003463586,3.187543587,2.494474875,2.999122578,3.822181213,2.311827757,3.282139753,2.64366853,3.252784372,2.645314831,2.435073551,2.231934442,4.385716733,2.574112223,2.706820268,4.123101823,3.804629182,2.294406652,3.117307262,3.21904458,3.704051411,3.040100172,2.428294163,3.221365206,4.777577357,2.247722739,2.671645991,4.390388044,4.055994286,2.209042133,2.291560761,2.708939277,3.13487728,4.385874928,2.755822118,2.224574739,3.797546978,3.54617896,2.68871773,2.639067834,3.557517672,2.643144671,2.463011807,2.778407134,2.558908241,3.622172307,2.927140973,2.560967412,3.617124526,3.457293691,4.147353301,4.234164355,4.737323606,4.644610893,3.665981716,2.579960377,3.26657514,4.341892602,2.391250776,3.227545841,4.159421491,3.532160352,4.228383385,2.298640843,2.648379112,0.379403322,0.840225815,1.693017933,1.819110842,1.13847311
de32c03fdad28d4764b72a50f36c7054,0.379403322,0.840225815,0.779902834,1.433977063,1.818789992,1.619773279,1.820930857,1.813158236,1.80550691,1.741041574,1.68977411,1.563577047,1.424040133,1.157272843,1.126830632,1.63048161,1.58833338,0.34213849,0.62537785,0.906505997,1.701914987,1.796495301,1.698045422,1.638708593,1.820799142,1.72112227,1.685347988,0.88093804,0.374457972,1.657096461,0.439184594,1.52434971,0.710528233,0.280184272,1.22079552,1.819663729,1.684189267,0.620606868,1.302713625,1.701369723,1.749636063,1.293251217,1.79036873,0.914530356,0.690057014,1.395816418,1.809859979,1.746002782,1.815266417,1.769674591,1.810052315,1.583589298,1.445960691,1.618987419,0.945079649,1.010364357,1.365118207,1.590556195,1.022035944,1.820812122,1.705880039,1.804086773,1.382180529,1.29854807,1.788333071,1.288950675,0.834110935,0.669563849,1.088221617,1.804716648,0.394487511,1.729769061,1.411982501,0.913168557,1.107597468,1.770344411,1.683225415,1.325005397,1.820957452,1.005752452,1.794890457,0.717641023,0.651755313,1.091232746,1.768245705,1.633681004,1.805292158,1.313723972,0.72129354,1.14470433,1.29032501,1.820086087,1.422476736,1.195910627,1.590315538,1.320200902,1.429980492,0.75342931,1.772680065,1.753509758,1.813420898,1.553501839,1.816168389,1.804907925,1.441835958,0.928733451,1.794540227,0.768802777,1.813910788,0.634243476,1.376523886,1.799203205,1.72795922,0.788032433,0.308298403,1.793851256,1.788291468,1.114611162,1.743603701,1.586171379,0.818955636,1.806360648,1.794306085,1.639423693,1.059025152,1.744391372,0.798754646,1.689643011,1.111641273,1.622526583,1.820120823,1.717529611,1.178797994,1.662003143,1.265575557,0.945782212,1.660697192,0.212066404,1.772468654,1.68298827,0.803480741,1.54077315,1.737958301,1.700437684,1.186324563,0.940523983,0.295832755,1.408054258,1.754800944,1.55372786,0.905758119,1.353856268,1.515922234,0.426446688,1.814733711,0.230012068,1.607727168,1.741977707,1.07302743,0.858364888,1.678231664,1.062789833,1.777784113,1.647956762,1.326058811,0.942749034,1.455690367,1.682405774,1.747313769,1.182160169,1.506412149,1.774348124,1.279463947,1.64087092,1.637353723,1.276974531,1.712995342,1.766619112,1.279045787,1.428423749,1.567044448,1.757611283,1.683605376,1.817191348,1.783789507,0.686776709,1.741324669,1.764285394,1.820687552,1.594874556,1.251651529,1.804028417,0.589347942,1.500420476,1.196461308,2.959913277,2.795637693,2.891681695,2.749134076,2.780189262
028393ce1804c0aca50b845ae1cdbaef,2.959913277,2.795637693,2.709188176,2.858313322,2.69514886,2.842984262,2.840413938,2.762861706,2.896604016,2.694164535,2.793722862,2.895731548,2.709658674,2.848805406,2.837370581,2.988991583,2.670724646,2.689496416,3.001660264,3.012628657,2.718469645,2.666523457,2.722252315,2.799722714,2.821923346,2.679549385,2.845993966,2.93141969,2.739282332,2.724569584,2.948838056,2.977396698,2.822001477,2.810859847,2.88633732,2.706194842,2.919804962,2.795140376,2.901660976,2.776483236,2.688358467,2.6945784,2.880901729,2.770525931,2.688575766,2.797225978,2.808907352,2.676550991,2.895611909,2.979523228,2.716465865,2.794516363,2.922601254,2.941476288,2.769626752,2.953639226,2.793110932,2.820131885,2.803181789,2.807002479,2.942512902,2.758754696,2.770989303,2.899307918,2.733423262,2.886140498,3.019517033,2.779100209,2.743787732,2.870894461,2.883341119,2.81051499,2.993433377,2.798063994,2.963997675,2.796057392,2.760421496,2.999804216,2.943292476,2.820003385,2.934545945,2.969535718,2.724174116,2.753368321,2.835767428,2.880739644,2.728783817,2.838783005,2.899755016,2.730300255,2.847970023,2.824336463,2.772341473,2.672398024,2.830913759,2.714478924,3.005083398,3.021753965,2.839736281,3.014143574,2.780469535,2.946106473,2.793312627,2.697782273,2.692812269,2.86770491,2.874155406,2.696108523,2.721705126,2.920085496,2.885600939,2.750041859,2.689939248,2.869330793,2.819772893,2.908016207,2.943683848,2.842577945,2.760929241,2.668782566,2.732856692,2.771032154,2.821939465,2.670766686,2.774096999,3.00553845,2.789186643,2.699819171,2.731480784,2.934183658,2.671107459,2.6980487,2.786976494,2.68370487,2.774964066,2.707185457,2.786183029,2.682561264,2.735396219,2.902129696,2.961650317,2.917155684,2.705192604,2.880959485,2.80674533,2.992240118,2.833078229,2.706434949,3.001582198,2.765063861,2.915170851,2.860426505,2.961263338,2.795976209,2.92535768,2.840473117,2.675944511,2.944212424,2.798056562,2.735052628,3.00083318,2.784362665,2.853498327,2.95333281,2.678085855,2.722532169,2.719836416,2.810321487,2.77425404,2.757462025,2.761192605,2.763443851,2.685072778,2.905249447,2.956525501,2.83587368,2.861949431,2.689404487,2.686260015,2.976223898,2.700602655,2.726228385,2.942357956,2.993324548,2.867662615,2.889384469,2.695329697,2.689293214,2.688207064,2.839308352,2.672915992,2.865499348,2.770036997,2.668254481,2.98885253,10.524968,10.5607956,10.2562981,8.369467348,10.21174607
2fe49ea18ede6aafc9528efb21fd29bb,10.524968,10.5607956,10.41107328,10.25123529,7.118106343,9.286568598,10.32938256,8.843518579,9.803459963,10.57645621,8.827889307,10.09561746,9.395258797,8.408086714,9.08330561,9.974030738,10.57181444,9.979792524,10.56247017,9.353631382,10.57149185,9.600173265,9.797107613,10.50689868,10.16470906,10.36462581,10.59934925,10.59799611,10.59817955,9.436947217,10.32878788,10.36454219,9.901821154,8.906958555,8.806707198,10.5748803,10.20860484,10.10672252,8.310023291,9.966676889,10.46165246,10.31117863,10.56860985,8.639742197,7.790971392,10.47907315,10.47246645,10.59279153,10.22127674,10.56434754,10.08890585,10.59539818,10.39216896,10.29947456,10.17623887,9.643545633,8.603178415,9.645328656,10.48181302,10.56173345,9.631510397,10.49490571,10.56140052,9.824310607,10.55929547,10.58848019,10.60022077,9.686595297,10.58210892,10.60022555,10.5955495,8.332037685,10.40874865,10.22031327,9.9758766,8.342139857,9.725532625,8.37611835,10.55997813,9.816967142,10.60040711,10.56386912,9.744303601,10.44958883,9.747189294,10.50794512,8.891182877,9.861266019,10.58350061,10.33169459,10.59088729,8.200173697,9.706303234,10.36163868,10.51505995,10.58072065,10.3872602,10.33509007,9.836570134,9.761741866,9.298239333,10.59478092,10.03819576,10.18511907,10.32964447,9.815274243,8.241004886,8.934171639,10.01928468,9.979710585,10.57682551,10.60005803,10.54092463,8.371032231,9.316422188,8.663435467,8.97632356,9.092305669,10.15294358,9.890317931,9.769893744,9.908440551,10.60031091,10.45961106,10.5306005,10.34686503,8.875387901,10.49123824,10.56127719,9.931635682,8.29971929,9.075445965,10.59807009,10.36338582,8.741789158,10.54587202,10.59989622,8.265721662,9.981518426,10.54597564,9.823945784,10.56274424,10.48750488,10.21330026,10.59850001,10.27174161,10.58815644,10.5911358,8.684219777,10.19543454,10.51135726,10.27919447,10.04205642,10.35962281,9.840724302,8.073827341,8.802133159,10.59998395,8.451405446,10.43887841,10.59385953,10.14784969,9.979297196,8.644639903,9.721706937,10.51329286,10.59874415,10.50377636,7.941878284,10.30464232,9.942915125,10.2525,10.58189969,10.54619116,10.5208834,10.46449357,10.09692541,8.848948271,9.970194629,10.52119947,10.50441325,9.665770126,8.995093175,10.24354171,10.52410418,10.37578249,8.373059633,9.096801671,10.60040442,10.57850453,10.5964817,10.58820166,10.54282362,8.358451583,10.53819933,6.153814362,6.356829062,6.395295345,6.412198259,6.511210703
d9615ca0c839ffe2118cc8a49b2580d5,6.153814362,6.356829062,6.339827841,5.79376286,5.907959857,6.546317591,6.323221957,6.320114092,5.997847422,6.544732539,6.507204843,6.539547523,5.77037984,6.027767055,5.971866934,5.680886082,5.849161926,6.438494846,6.488757606,5.978849189,6.479250842,6.493152628,6.130607447,6.102280218,6.306626391,6.505778373,6.483939276,5.78997634,5.999615789,6.512781429,6.34471732,6.485188946,6.421355053,6.48220516,6.439701214,6.169823641,6.494608907,6.271764635,6.360754013,5.940607299,6.382892036,6.485077092,5.811353406,6.495522804,5.725272543,6.518661466,6.424024974,6.349196146,6.471925684,6.316178469,6.494383381,6.428641933,6.544845791,6.545039804,6.543546625,6.517890445,6.350161995,6.191613881,6.126377704,5.919098167,5.834931325,6.514325443,6.11949645,6.463328728,6.238249236,5.528445091,5.701442245,6.443787531,6.213856604,6.314016986,6.430546373,6.051990247,5.799399399,6.057648942,5.802662231,5.863365399,6.433699993,5.938218383,6.413627794,6.54740624,5.905715053,6.419177208,6.39077579,6.323725454,6.547462533,6.36422275,6.006371504,6.433897383,6.454196406,5.984360304,6.514302674,5.950875106,6.306229339,5.943720673,6.520777386,6.082163935,6.53803976,5.742313088,5.826231387,6.166852269,6.212486408,6.169454022,6.069339833,5.86923869,6.387663679,6.512386155,5.889682686,6.424013586,5.954518571,6.025008866,6.541617001,6.487805719,5.976358106,5.96223194,6.433650424,6.368423515,5.834301434,5.850019384,6.333497022,6.455963437,6.356108651,6.423990229,6.470632929,5.932437844,6.354768935,6.449559947,6.1375136,6.542221452,6.540975033,5.980422725,6.539902435,6.445502391,6.361232145,6.229137658,6.479287672,6.333166535,6.136714069,6.347328649,5.792864447,6.546323462,6.498731357,6.217979253,6.137319793,6.098071421,5.732572558,6.138994456,6.155262868,5.941776503,6.539329915,6.490233343,6.004227761,6.347507992,5.81988532,6.028046142,6.495862525,5.805760063,6.404724839,6.452072418,6.371161384,6.429351422,6.315016264,6.538621314,5.99515585,6.156411761,6.387370394,6.506681792,6.500242912,6.085130301,5.872457255,6.426291637,5.794716096,6.493888052,6.373353225,6.547619664,5.630390598,6.297450608,6.229238198,6.042468736,6.356895841,6.526857272,6.531466625,6.518484738,5.583719285,5.960477872,5.940812658,6.491256339,5.862307229,6.35630101,6.02462641,5.93267513,6.364956096,6.538061737,5.929539852,5.964396877,6.364392941,5.370561442,5.448595743,5.297685202,7.266759329,6.344613783
f4516f4e5011124000a1e69393c301c2,5.370561442,5.448595743,5.927915821,6.217063149,5.13637178,5.530366055,6.843035292,5.216625754,5.717890415,5.439627026,7.302322326,6.956841991,7.721055944,7.53943066,8.34674321,5.622378143,5.588995698,5.604903029,5.322503458,4.995354241,8.009403169,7.557391528,5.826696603,5.247735144,4.98214955,5.84899617,5.235772777,7.524470952,5.170644218,5.126707217,7.410842205,6.442307804,5.403589648,7.732661267,5.121546299,6.018631511,5.302442724,6.251807379,5.29062805,6.430469238,7.416832234,5.515603854,5.940134703,6.757780303,5.318713042,5.234788629,5.727700586,6.606649479,5.020267451,7.166279378,5.08340647,6.087877272,6.501814082,5.073662249,5.326728344,5.080819688,5.609511818,5.984827247,4.993118747,5.653206413,6.915948864,7.181329764,7.78850682,4.988204871,5.11999235,5.246397243,5.683348059,5.134194746,5.245848235,8.290655213,5.375786838,5.901131262,6.059932183,5.839393343,5.21968009,4.987021088,6.41879371,6.223802332,5.038052894,7.633989872,5.742284308,5.273243214,5.19550181,4.994702285,7.175556009,6.654132925,6.666163843,8.109892625,5.643493339,5.408710607,5.45382754,7.307529581,5.328252205,6.9904019,6.527609986,6.195269768,6.482493887,6.473246331,5.035851306,5.334689225,5.461402781,6.210564994,5.146148556,5.89883199,5.50631137,5.179616439,5.128454667,5.668788971,6.65265021,5.482760604,6.198681195,6.591570482,6.179587252,5.877878996,5.740638177,5.079023331,7.849725131,5.342191452,7.380414799,6.633405429,5.517679226,5.340215241,4.991910893,5.172055955,5.272269841,5.397058663,7.56326005,7.539402085,7.436200486,7.898329265,5.283172063,7.135393726,7.825206964,6.224956065,5.088067937,7.408296489,6.911374562,5.929596699,8.214884721,4.994953425,6.596369623,7.483427256,5.43156599,8.077566471,4.983217563,6.539011693,6.096746305,5.481040659,5.449224307,5.905452636,7.363137463,5.030060223,5.862427763,5.129545272,4.991778664,5.936950915,5.454143411,5.020360281,7.914785729,5.476512628,5.004761095,6.50520153,7.633757444,5.241136012,5.564753354,7.677859782,7.183254797,5.086126582,5.180267994,6.360421546,6.022117864,5.05665096,5.202035478,5.160449535,5.177457002,7.412512729,5.385081737,7.644692289,5.132661204,5.571729634,5.388057005,6.739733507,5.861514966,6.847449123,6.742571815,5.163724723,4.983241664,4.9827575,5.59827388,6.069981248,7.764165647,4.985800353,5.343683178,7.02518135,7.483919168,-7.609566449,-5.110568319,-6.172250161,-5.134897217,-6.103147155
0b307b95ff2e57e2ea200c3316f9aac3,-7.609566449,-5.110568319,-6.409706603,-5.26340155,-5.211586847,-7.253138531,-5.879492876,-6.694243109,-6.431859058,-5.277707814,-6.100518122,-7.507597226,-5.716099871,-7.355376298,-7.353770134,-8.433053047,-6.572264618,-5.781672929,-5.896355503,-5.594358792,-5.243747985,-5.887734036,-8.178033374,-6.064491397,-7.364032546,-5.19208044,-6.841544702,-7.027597061,-5.616173487,-5.140163367,-7.410014087,-6.925762012,-6.094695133,-7.359300679,-5.207132904,-5.281284005,-6.320758598,-5.38200342,-5.744208567,-5.761007017,-6.217658794,-5.498762297,-6.478338639,-5.594204379,-6.000244287,-5.800296757,-5.97718725,-6.871665046,-5.409857974,-5.807768324,-7.475958841,-5.36120779,-5.393202034,-5.625860288,-5.201162506,-5.12759958,-5.107018641,-5.103319801,-5.223714809,-5.095994585,-8.706131564,-5.176330562,-5.112095721,-7.602609084,-6.601135501,-6.635679574,-8.661733339,-6.111951577,-5.191617233,-7.038541639,-5.179891181,-5.452863025,-6.686907628,-6.187958734,-5.394998859,-6.926953772,-5.137553471,-5.269917429,-7.398233084,-8.230749546,-6.198570192,-6.255597441,-6.356230035,-5.50498851,-5.54783386,-5.247416993,-7.035902227,-6.837876462,-5.915742134,-5.12082699,-8.451909876,-5.259713476,-7.239459639,-7.515825505,-5.109263453,-5.636486309,-6.135394551,-6.23225833,-7.307645188,-7.229827238,-6.890494219,-5.975698402,-7.415063884,-7.89667437,-8.50544443,-6.884647231,-5.495912443,-6.66376388,-5.714195999,-5.831349081,-5.980465611,-6.395669416,-6.226047078,-5.11902938,-5.363504191,-7.784020775,-5.133444267,-5.732330409,-7.631590141,-6.146000583,-6.322889427,-7.718629114,-8.136942002,-6.589620054,-5.179751292,-6.070938148,-6.860954082,-5.30022864,-6.078986326,-5.182790232,-7.324518539,-5.523401842,-5.188704018,-8.297243678,-5.128420395,-5.376108329,-5.140026345,-5.094695594,-8.19575274,-7.414530045,-6.817139004,-7.090810209,-5.724874312,-5.112790618,-6.521811066,-6.057767092,-6.791572675,-7.804219103,-5.4187247,-6.042130195,-5.837548504,-5.347202986,-8.138088026,-5.174619293,-6.681379262,-6.469805877,-5.595318182,-5.512706248,-6.950896904,-5.617215992,-5.630226354,-5.503566807,-5.422702056,-5.362184358,-6.347007339,-5.39333403,-5.126508753,-6.546173004,-5.917850961,-6.270925007,-5.740851097,-5.570821976,-6.671838232,-5.20464735,-5.189948468,-7.259258137,-5.832131229,-5.369264727,-5.380166225,-6.47162828,-6.728641787,-5.461986248,-7.358966325,-6.216977677,-5.880234659,-6.357911044,-6.209966036,-5.886664621,-7.059582302,-8.216765197,-6.366478406,-5.216900986,-5.173381007,-5.111800037,-5.606652795,-5.38890402,-5.308305017,-7.284621074,-6.53238645,-6.704264704
d52a795c6bd444df6b51039ce9dc6222,-5.38890402,-5.308305017,-7.043440861,-7.285149623,-7.12573246,-6.709565482,-7.205834431,-6.656013746,-7.1580059,-4.298065323,-6.994475515,-7.056686361,-7.151763313,-6.012990242,-7.145644607,-7.264077136,-6.858228515,-7.205665502,-7.284556983,-7.280454606,-7.151656983,-6.531830648,-5.822315808,-5.979165542,-6.966606258,-7.149972633,-6.854864145,-6.783032077,-7.238740959,-5.216059383,-5.767602915,-7.244795196,-6.568522626,-5.797864494,-7.25804278,-6.747599252,-6.803749069,-6.902788856,-6.599307165,-5.955821268,-5.786145808,-6.530226526,-6.42116823,-5.993249214,-5.756016218,-7.271880507,-7.28401997,-7.015581196,-7.193412073,-7.193282001,-6.85672727,-5.283513717,-7.223771377,-4.853852888,-7.274965772,-6.694367814,-7.284325438,-5.820588568,-5.623029915,-7.230100424,-7.283210685,-6.669697309,-7.271653819,-5.850446734,-6.520438393,-6.491006117,-7.128027384,-6.091473363,-5.444992285,-4.667818696,-4.917973298,-7.284669324,-7.226995309,-7.081204903,-7.206029308,-7.02095406,-5.665612472,-6.5133021,-7.21093424,-6.089599597,-4.285023233,-6.763140262,-6.587111704,-7.116390753,-6.294773785,-6.271622128,-7.180867911,-6.754423133,-4.514017379,-7.096585198,-7.25904202,-6.091444042,-6.739474155,-5.617021806,-5.990428451,-5.282999532,-7.261188897,-6.134694874,-6.71757728,-7.274708723,-6.785416445,-6.787424315,-6.729117716,-7.095005945,-7.086081703,-7.176752844,-6.44551019,-6.389799466,-7.188815517,-7.271490468,-5.847200918,-6.938300949,-6.241595853,-5.851955191,-7.263482057,-5.858030046,-6.177534242,-7.2802427,-7.176751459,-6.252732294,-6.749729983,-7.06441136,-7.004321325,-4.803394561,-6.904014013,-5.76396813,-7.0517399,-5.846230676,-6.968686232,-6.032598977,-5.84093519,-7.056261372,-6.978003189,-7.147965734,-6.973761586,-6.248711002,-5.099225959,-4.557398084,-6.601099621,-6.452404893,-6.053421707,-7.169906437,-6.778960438,-7.145190579,-7.268448309,-5.662823334,-6.760110834,-6.936579595,-5.00748103,-6.813645686,-5.63624028,-7.258230535,-5.27478547,-6.146964474,-7.001623455,-6.978477439,-5.179341499,-6.027288548,-7.143672622,-4.8599203,-7.227194629,-6.94060108,-5.530732068,-7.090740175,-6.505869544,-6.800271823,-6.841310334,-4.747415738,-6.006959491,-7.166607597,-7.282754864,-6.528750876,-6.232401482,-6.81035421,-6.841139283,-7.278329956,-7.133245023,-5.072085368,-7.24411261,-7.190237109,-7.082992955,-6.803227204,-4.663035882,-6.615997175,-6.390821206,-6.791682465,-6.563333097,-6.995149307,-6.322492214,-7.280932231,-7.074986038,-7.128124308,-7.275132985,-7.255271187,-7.207056312,4.493766305,2.761990562,5.523031163,5.659602216,2.901625503
8455c3fa4ee352ec67742b2ffaef70d8,4.493766305,2.761990562,4.846924671,5.682031548,6.533244244,4.024325595,4.646791287,4.957496156,4.885788087,3.21938373,6.49114013,6.947118613,6.165212116,3.310118748,4.648824657,4.210749629,6.109431896,3.093741918,2.732451511,4.048852405,3.358735666,4.991447704,5.74488429,3.019215023,6.564291562,3.62534344,3.700408383,2.335806962,5.105479039,4.638191914,6.657888034,5.002576261,4.201749658,3.468134513,5.509474883,4.426838068,2.643857405,4.536281576,2.562511392,6.066551411,3.924305586,2.966034789,2.654643494,2.87837173,5.867297714,6.958022931,6.131628542,4.879360229,6.713068844,7.052119051,3.790465961,2.945899904,3.800440401,3.961925784,2.61770425,6.601957926,5.90043302,3.347598109,2.780975932,4.309853208,2.805467519,5.697359924,5.845709022,6.064776104,4.234432069,6.401281649,4.187904705,4.322571092,3.158939857,3.615362943,2.62989445,4.92292633,4.221776679,3.976342612,2.411133437,3.568108561,3.967864062,4.867975215,2.751867481,6.308329109,2.544527204,6.706568444,3.552286824,4.718228716,3.227737351,6.271722585,3.877712478,2.917025067,6.205629648,6.368885506,5.813089535,4.390978553,3.136186329,2.848005509,5.987299185,3.895504365,3.331734143,5.674859392,6.20400821,3.87820158,6.393805661,2.696308293,3.369004983,5.520640028,6.668995073,6.327002486,4.757964967,6.416717499,5.998394523,3.037598674,6.498123155,2.4586857,3.121309501,5.611940787,2.774737033,3.286166191,5.101396603,2.747260052,5.346661428,4.546120242,3.353561827,6.603274804,4.795266506,3.249983505,3.171708958,4.076258598,6.381652896,5.426011315,3.811954665,4.820988414,3.885115576,5.460726322,6.678073336,4.051689179,5.978971701,6.142981424,3.148882707,4.658028499,6.574694744,2.625015576,4.615350845,3.142296012,2.952971021,4.112582802,4.295974575,2.883414624,2.653487337,4.665672553,4.549129521,3.07681703,4.780091615,4.585786957,6.976249461,4.733882968,5.807454198,5.413983299,5.688440851,4.325913476,5.929478531,5.334361665,3.405869675,4.963121281,6.001874362,6.678030726,3.401431489,3.238301912,4.390342672,4.819858048,3.093816015,3.625558934,6.767888221,3.262148341,3.682828073,6.591994342,5.30887474,3.750030494,2.35127014,5.595311959,6.641685308,4.7593695,4.435531116,3.69243204,4.505625868,6.105471488,5.01928154,4.390544706,3.586660958,3.932878507,3.59044856,6.198315517,4.790729861,6.743243013,5.852460563,2.94917785,6.419211608,1.522582165,0.793755568,1.774479323,1.361292843,1.65211878
